filename,width,height,depth,name,xmin,ymin,xmax,ymax
maksssksksss0.png,512,366,3,without_mask,79,105,109,142
maksssksksss0.png,512,366,3,with_mask,185,100,226,144
maksssksksss0.png,512,366,3,without_mask,325,90,360,141
maksssksksss1.png,400,156,3,with_mask,321,34,354,69
maksssksksss1.png,400,156,3,with_mask,224,38,261,73
maksssksksss1.png,400,156,3,with_mask,299,58,315,81
maksssksksss1.png,400,156,3,with_mask,143,74,174,115
maksssksksss1.png,400,156,3,with_mask,74,69,95,99
maksssksksss1.png,400,156,3,with_mask,191,67,221,93
maksssksksss1.png,400,156,3,with_mask,21,73,44,93
maksssksksss1.png,400,156,3,with_mask,369,70,398,99
maksssksksss1.png,400,156,3,without_mask,83,56,111,89
maksssksksss2.png,400,290,3,with_mask,68,42,105,69
maksssksksss2.png,400,290,3,with_mask,154,47,178,74
maksssksksss2.png,400,290,3,with_mask,238,34,262,69
maksssksksss2.png,400,290,3,mask_weared_incorrect,333,31,366,65
maksssksksss3.png,400,271,3,with_mask,52,53,73,76
maksssksksss3.png,400,271,3,with_mask,72,53,92,75
maksssksksss3.png,400,271,3,with_mask,112,51,120,68
maksssksksss3.png,400,271,3,with_mask,155,60,177,83
maksssksksss3.png,400,271,3,with_mask,189,59,210,80
maksssksksss3.png,400,271,3,with_mask,235,57,257,78
maksssksksss3.png,400,271,3,with_mask,289,60,309,83
maksssksksss3.png,400,271,3,with_mask,313,68,333,90
maksssksksss3.png,400,271,3,with_mask,351,35,364,59
maksssksksss4.png,301,400,3,with_mask,70,185,176,321
maksssksksss5.png,400,266,3,with_mask,118,54,161,96
maksssksksss5.png,400,266,3,without_mask,364,30,401,66
maksssksksss5.png,400,266,3,without_mask,192,106,229,144
maksssksksss5.png,400,266,3,with_mask,249,95,291,139
maksssksksss6.png,600,405,3,with_mask,254,100,387,260
maksssksksss7.png,400,300,3,with_mask,253,116,342,210
maksssksksss7.png,400,300,3,with_mask,152,96,222,174
maksssksksss7.png,400,300,3,with_mask,120,134,173,194
maksssksksss7.png,400,300,3,without_mask,118,66,135,90
maksssksksss8.png,301,400,3,with_mask,75,271,152,385
maksssksksss9.png,267,400,3,mask_weared_incorrect,148,75,201,133
maksssksksss9.png,267,400,3,without_mask,27,78,56,106
maksssksksss10.png,301,400,3,with_mask,98,267,194,383
maksssksksss11.png,400,267,3,mask_weared_incorrect,23,114,77,172
maksssksksss11.png,400,267,3,with_mask,147,157,200,211
maksssksksss11.png,400,267,3,with_mask,201,191,230,234
maksssksksss11.png,400,267,3,with_mask,243,192,293,247
maksssksksss11.png,400,267,3,with_mask,309,182,346,224
maksssksksss11.png,400,267,3,with_mask,249,108,276,140
maksssksksss11.png,400,267,3,with_mask,275,99,303,128
maksssksksss11.png,400,267,3,with_mask,195,90,214,113
maksssksksss11.png,400,267,3,with_mask,214,76,237,99
maksssksksss11.png,400,267,3,with_mask,232,50,247,67
maksssksksss11.png,400,267,3,with_mask,266,45,281,61
maksssksksss11.png,400,267,3,with_mask,207,47,222,63
maksssksksss11.png,400,267,3,with_mask,227,36,239,48
maksssksksss11.png,400,267,3,with_mask,253,33,267,45
maksssksksss11.png,400,267,3,with_mask,290,31,304,41
maksssksksss11.png,400,267,3,with_mask,362,32,372,40
maksssksksss12.png,400,272,3,with_mask,72,71,90,88
maksssksksss12.png,400,272,3,with_mask,119,70,137,88
maksssksksss12.png,400,272,3,with_mask,163,76,185,96
maksssksksss12.png,400,272,3,with_mask,36,70,46,82
maksssksksss12.png,400,272,3,with_mask,120,55,132,68
maksssksksss12.png,400,272,3,with_mask,94,59,102,69
maksssksksss12.png,400,272,3,with_mask,153,61,171,81
maksssksksss12.png,400,272,3,with_mask,335,70,353,87
maksssksksss12.png,400,272,3,with_mask,273,58,290,75
maksssksksss12.png,400,272,3,with_mask,232,61,249,78
maksssksksss12.png,400,272,3,without_mask,298,61,312,84
maksssksksss12.png,400,272,3,with_mask,354,54,365,68
maksssksksss12.png,400,272,3,with_mask,38,82,45,98
maksssksksss13.png,400,226,3,with_mask,28,54,44,71
maksssksksss13.png,400,226,3,with_mask,98,62,114,80
maksssksksss13.png,400,226,3,mask_weared_incorrect,162,51,194,89
maksssksksss13.png,400,226,3,with_mask,293,60,313,81
maksssksksss13.png,400,226,3,with_mask,352,53,373,71
maksssksksss13.png,400,226,3,with_mask,229,53,241,72
maksssksksss14.png,301,400,3,without_mask,152,192,239,319
maksssksksss15.png,193,400,3,with_mask,59,144,125,213
maksssksksss15.png,193,400,3,with_mask,82,330,118,366
maksssksksss16.png,301,400,3,with_mask,48,227,146,345
maksssksksss17.png,301,400,3,with_mask,73,179,169,297
maksssksksss18.png,400,267,3,with_mask,134,86,192,148
maksssksksss18.png,400,267,3,with_mask,299,159,354,217
maksssksksss19.png,400,236,3,without_mask,1,45,18,68
maksssksksss19.png,400,236,3,with_mask,89,38,115,62
maksssksksss19.png,400,236,3,without_mask,161,20,195,54
maksssksksss19.png,400,236,3,with_mask,104,104,182,175
maksssksksss19.png,400,236,3,with_mask,309,77,375,136
maksssksksss19.png,400,236,3,without_mask,267,14,287,32
maksssksksss20.png,267,400,3,with_mask,93,60,153,124
maksssksksss21.png,400,227,3,with_mask,40,137,109,218
maksssksksss21.png,400,227,3,with_mask,54,57,111,112
maksssksksss21.png,400,227,3,with_mask,189,78,246,140
maksssksksss21.png,400,227,3,with_mask,311,48,358,98
maksssksksss21.png,400,227,3,without_mask,182,32,221,60
maksssksksss22.png,400,268,3,with_mask,183,101,270,185
maksssksksss23.png,400,299,3,with_mask,188,74,241,131
maksssksksss24.png,267,400,3,mask_weared_incorrect,105,76,161,116
maksssksksss25.png,300,400,3,with_mask,122,68,195,152
maksssksksss26.png,400,400,3,with_mask,73,87,174,206
maksssksksss26.png,400,400,3,with_mask,245,152,327,239
maksssksksss27.png,400,312,3,with_mask,163,88,251,185
maksssksksss28.png,400,300,3,with_mask,105,23,170,96
maksssksksss29.png,400,295,3,with_mask,50,96,120,171
maksssksksss29.png,400,295,3,mask_weared_incorrect,223,81,285,159
maksssksksss29.png,400,295,3,mask_weared_incorrect,279,44,340,114
maksssksksss30.png,400,242,3,with_mask,56,41,94,81
maksssksksss30.png,400,242,3,without_mask,119,61,146,87
maksssksksss30.png,400,242,3,with_mask,166,59,196,83
maksssksksss30.png,400,242,3,with_mask,220,31,249,64
maksssksksss30.png,400,242,3,with_mask,262,66,290,95
maksssksksss30.png,400,242,3,without_mask,292,58,318,86
maksssksksss30.png,400,242,3,with_mask,334,131,365,161
maksssksksss31.png,400,267,3,with_mask,209,90,278,165
maksssksksss31.png,400,267,3,with_mask,144,60,202,135
maksssksksss32.png,400,225,3,with_mask,177,46,200,70
maksssksksss32.png,400,225,3,with_mask,305,32,338,60
maksssksksss33.png,250,400,3,with_mask,114,47,143,75
maksssksksss34.png,400,267,3,with_mask,63,99,75,113
maksssksksss34.png,400,267,3,with_mask,102,79,117,95
maksssksksss34.png,400,267,3,with_mask,142,84,155,99
maksssksksss34.png,400,267,3,without_mask,129,92,142,102
maksssksksss34.png,400,267,3,with_mask,195,79,209,95
maksssksksss34.png,400,267,3,with_mask,213,86,228,103
maksssksksss34.png,400,267,3,with_mask,245,71,260,86
maksssksksss34.png,400,267,3,without_mask,299,91,312,104
maksssksksss35.png,400,255,3,with_mask,132,44,208,123
maksssksksss35.png,400,255,3,with_mask,330,67,375,114
maksssksksss36.png,400,225,3,with_mask,24,24,47,52
maksssksksss36.png,400,225,3,with_mask,111,38,127,56
maksssksksss36.png,400,225,3,with_mask,145,39,170,67
maksssksksss36.png,400,225,3,with_mask,195,22,216,46
maksssksksss36.png,400,225,3,with_mask,262,60,273,70
maksssksksss36.png,400,225,3,with_mask,311,53,319,62
maksssksksss36.png,400,225,3,with_mask,323,46,337,61
maksssksksss36.png,400,225,3,with_mask,336,31,354,49
maksssksksss36.png,400,225,3,with_mask,354,25,379,50
maksssksksss37.png,301,400,3,with_mask,78,110,192,265
maksssksksss38.png,400,285,3,with_mask,194,102,230,139
maksssksksss38.png,400,285,3,without_mask,252,116,284,149
maksssksksss39.png,398,400,3,with_mask,157,107,223,184
maksssksksss39.png,398,400,3,with_mask,239,97,347,219
maksssksksss40.png,400,267,3,with_mask,65,87,106,134
maksssksksss40.png,400,267,3,with_mask,203,75,232,114
maksssksksss40.png,400,267,3,with_mask,258,77,297,123
maksssksksss40.png,400,267,3,without_mask,367,80,394,112
maksssksksss41.png,400,281,3,with_mask,29,184,63,216
maksssksksss41.png,400,281,3,with_mask,50,165,74,194
maksssksksss41.png,400,281,3,with_mask,107,175,139,208
maksssksksss41.png,400,281,3,with_mask,181,151,201,172
maksssksksss41.png,400,281,3,with_mask,202,188,236,225
maksssksksss41.png,400,281,3,with_mask,234,183,247,207
maksssksksss41.png,400,281,3,with_mask,253,169,271,189
maksssksksss41.png,400,281,3,with_mask,283,203,315,235
maksssksksss41.png,400,281,3,with_mask,337,186,361,210
maksssksksss42.png,400,353,3,with_mask,36,73,95,141
maksssksksss42.png,400,353,3,with_mask,175,67,228,133
maksssksksss42.png,400,353,3,with_mask,304,67,363,135
maksssksksss42.png,400,353,3,with_mask,33,244,95,312
maksssksksss42.png,400,353,3,with_mask,170,248,231,321
maksssksksss42.png,400,353,3,with_mask,306,248,366,313
maksssksksss43.png,266,400,3,with_mask,116,46,172,108
